Rank  	Player  	   	Alliance  	Points
210   + 	ARC Smoker 	write message   	Nuke 	501.069
211   * 	TWOONEKIND 	write message   	oTATEo 	500.923
212   * 	Searle 	write message   	KUL T5 	500.471
213   - 	Ron 	write message   	Un4Gvn 	500.402
214   * 	BlackFox 	write message   	OGJ 	498.571
215   * 	Baton 	write message   	UFP 	493.982
216   * 	0zero 	write message   	SMS 	492.858
217   * 	stutti 	write message   	C.O.R.P. 	490.130
218   * 	oooooo 	write message   	Nuke 	489.065
219   * 	golom 	write message   	FWL 	487.466
220   * 	klma72 	write message   	tod 	482.584
221   * 	sacrifice 	write message   		481.769
222   * 	foxinabox 	write message   	4C3S 	480.841
223   * 	calebloo 	write message   	Nuke 	480.356
224   * 	sleepy 	write message   	1.O.A.K 	479.684
225   * 	Andersxxl 	write message   	SP 	477.273
226   * 	Wengsta123 	write message   	doop 	475.738
227   * 	dumma hol da bomb 	write message   	NC Veng 	471.976
228   * 	Kdas 	write message   	X POWER 	470.004
229   * 	Cortox 	write message   	Nuke 	469.784
230   + 	Teapot 	write message   	SVIE 	468.835
231   - 	Katip Celebi 	write message   	TURKLER 	468.807
232   - 	Leptirich 	write message   	UFP 	467.952
233   * 	Fragboy 	write message   	NC Veng 	464.627
234   * 	TriSkelion 	write message   	Nuke 	462.766
235   * 	barpeda 	write message   	doop_A 	461.725
236   * 	Mikeszz 	write message   	doop_A 	459.017
237   * 	Vlagrate 	write message   	NYAH 	457.092
238   * 	coloreal 	write message   		456.378
239   * 	Cyclonic 	write message   	Armada 	455.514
240   * 	TOM SNARE 	write message   	FWL 	455.442
241   * 	lule 	write message   	NOMADI 	453.405
242   * 	Krugster 	write message   	NC Veng 	452.498
243   * 	mdfk87 	write message   	O.N.O 	452.037
244   * 	Yokat 	write message   	FWL 	449.756
245   * 	sneak 	write message   	Armada 	448.047
246   + 	bbong 	write message   		444.189
247   - 	pronmasta 	write message   	UFP 	443.044
248   + 	crimson 	write message   	BARACUDA 	441.196
249   - 	subjugator 	write message   	M.O.A 	441.133
250   * 	MarcellusW 	write message   	_AI_ 	440.110
251   * 	Reiche 	write message   	ALFRA 	437.768
252   * 	fatihdursun 	write message   	MooNStaR 	436.502
253   * 	Szalonooki 	write message   	V RP 	433.855
254   * 	sameer 	write message   	Nuke 	432.635
